THEM,YOU,CLAUSE,LABEL,PARTY,
Company,MEMBER,"The MEMBER’s main focus during his/her time as a member of the organization, is to assist iSolation eSports owners in growing the organization, maintaining stability, utilizing the MEMBERs knowledge alongside the MEMBERs contacts and/or resources, branding the ""Isolation ESports"" name and/or sponsors, and producing content as directed by the owners of iSolation eSports.",R,Y,
Company,MEMBER,Isolation eSports holds all possible expenses regarding different PR-arrangements. ,R,Y,
Company,MEMBER,MEMBER recognizes that they can’t be a member of any other organization while a contracted member of iSolation eSports. ,R,Y,
Company,MEMBER,4.4 The MEMBER accepts that he/she isn't allowed to drink alcohol while representing the organization. ,R,Y,
Company,MEMBER,"The MEMBER may not use, carry or promote products (mouse pads, headset / headphone, Teflon/glides, monitors, computers, game machines, mice, clothing, soft drinks, magazine, food, equipment, ETC.) in official events (in Offline tournaments) if these products compete with products from the organization's sponsors WITHOUT NOTIFYING ISOLATION ESPORTS 2 WEEKS MINIMUM IN ADVANCE.",R,Y,***
Company,MEMBER,"5.8 During interviews (both written, on TV, on live stream, on radio, etc.), the MEMBER has to thank all sponsors of the organization and Isolation E-Sports itself.",R,Y,
Company,MEMBER,"MEMBER has to produce content for the organization to the standards that the owners of iSolation eSports sets forward rather it be directed by the owners and/or senior management of iSolation to be content produced by way of streaming, graphics and/or video content. ",R,Y,
Company,MEMBER,The MEMBER has to pay all fees regarding the shipping & handling of the hardware and clothing. ,R,Y,
Isolation eSports,MEMBER,Isolation eSports holds the right to TERMINATE CONTRACT at any given moment without notification or reprimand. ,T,T,
Company,MEMBER,MEMBER is required to submit a sheet/roster of MEMBERs present personal sponsors. ,R,Y,
Company,MEMBER,MEMBER must promote iSolation eSports sponsors on a weekly basis. ,R,Y,
Company,MEMBER,Failure to do so places liability solely on the MEMBER to meet all the requirements of iSolation eSports requirements first. ,L,Y,
Contractor,Customer,The Contractor hereby agrees to provide all agreed Services to the Customer.,R,T,
Contractor,Customer,"8. For the services rendered by the Contractor as required by this Agreement, the Customer will provide compensation (the ""Compensation"") to the Contractor of $5,000.00 USD per month.",R,Y,
SOE,you,"If you are under the age of majority in your jurisdiction, you must make sure that your parent or guardian reads and accepts this Agreement and our Privacy Policy on your behalf prior to your use of The Station.",R,Y,
SOE,you,"Except as may be expressly permitted by SOE, you may not sell or exchange anything you copy or derive from The Station.",-,,limitation of right
SOE,you," In addition, you acknowledge that any and all character and account data that is stored and is resident on our servers, and any and all communications that you make within The Station or any game (including, but not limited to, messages solely directed at another player or group of players) traverse through our servers, may or may not be monitored by us or our agents (where and to the extent permitted by applicable law), you have no expectation of privacy in any such communications, you expressly consent to such monitoring of communications you send and receive, and you expressly agree to waive any rights of confidentiality that you may have in and to such communications.",-,-,right
SOE,you,"Any Station Account supplied to you is personal to you, and you may not transfer or make available your Station Account username and/or password to others, including, without limitation, your co-workers or other members of your household (except that Child restricted account information may be accessed by a Parent using parental controls).",R,Y,no-responsibility  Must not do
SOE,you,"In order to use The Station, you must first obtain access to the Internet and pay any service fees associated with such access.",R,Y,
SOE,you,"In addition, you will need to provide all equipment and software necessary to connect to The Station via the Internet (including a computer, modem, browser and/or other access devices).",R,Y,
SOE,you," Before you register for a free Station Account, you will be asked your date of birth and country of residence in order to determine the type of Station Account for which you are eligible (additionally, Free Realms accounts will ask you your gender).",-,,
SOE,you," If your provided age shows that you are thirteen (13) years of age or older, you will be asked to provide a Station username, password, Station handle (optional), e-mail address and your gender, and, in some cases, to provide your birth date.",-,,
SOE,you,"For added security, you will be provided the ability to specify a password which will be used to access and make changes to the parental controls applicable to your Child's account.",-,,
SOE,you, You are responsible for maintaining the confidentiality of your Station Account and for all activities that occur through the use of your Station Account.,R,Y,
SOE,you,"Accordingly, you acknowledge that SOE Communication Features are forums for public and not private communications.",R,Y,
SOE,you,"As specified in Section III(A) above regarding Station Accounts, any Station username and password supplied to you in connection with fee-based Member Materials that you purchase is personal to you, and you may not transfer or make available your Station Account name and password to others.",-,,limitation of right
SOE,you,"In such case, you and not SOE shall be responsible for purchasing any necessary additional software and/or hardware in order to access and play those games.",R,Y,
SOE,you,"As further described below, you will receive an e-mail from SOE confirming your purchase.",-,,
SOE,you," With respect to the purchase of any games, services, or Virtual Goods through SOE's commerce systems, you will be required to review and accept the applicable end user license agreement for such games, services, or Virtual Goods prior to submitting your order.",R,Y,
SOE,you,"Where and to the extent required by applicable laws, you will be able to verify and modify your order information before confirming your order.",-,,right
SOE,you,"After the submission of your order, you will receive an e-mail receipt from SOE providing full details of your purchase.",-,,
SOE,you,"You hereby agree to receive all notices and records from SOE in electronic form, and you acknowledge that you will only be entitled to receive notices or records from SOE in paper form by contacting us directly and making such request.",-,,
SOE,you,"So long as you elect to stop the automatic renewal of your subscription or membership at least three (3) business days prior to your next monthly cycle, you will not be billed the applicable fees for such next billing cycle.",-,,
SOE,you,"If we make a Game Card available and you use a Game Card to pay for subscription or membership services through the Store, the Game Card shall activate your subscription or membership service for the period stated on the Game Card and, thereafter, you will either need to provide an additional payment method accepted by SOE or purchase another Game Card for subsequent subscription or membership periods, or your subscription or membership will be terminated.",R,Y,
SOE,you,You will receive an e-mail after shipment has occurred that contains the tracking number of your package and a link to the carrier's web site.,-,,
SOE,you,You will receive two e-mails from us during the pre-ordering/shipping process.,-,,
SOE,you," In order to change your shipping or billing information submitted with respect to a pre-order, or the quantity of products pre-ordered, you will need to cancel your original pre-order (with the outdated information) and place a new pre-order using your updated information.",R,Y,
SOE,you,"However, you will not be able to change your shipping or billing information, or change a pre-order, once such pre-order has been upgraded to an order.",-,,limitation of right
SOE,you,At that time you will be able to add multiple products to your order.,-,,
SOE,you,"In the event that your order is not delivered within thirty (30) days from the date on which it was shipped, you shall be entitled to claim a refund for such undelivered goods and SOE shall have the right to cancel your shipment.",-,,right
SOE,you,"In addition to the fees described above, if you are a resident of a European Union country, you will also be charged any applicable VAT fees.",R,B,
SOE,you,"You acknowledge that SOE and/or third-party content providers remain the owners of all materials posted on The Station, and that you do not acquire any of those ownership rights by downloading copyrighted materials.",R,Y,
SOE,you," As the operator of an independent, unaffiliated web site, you will have sole editorial control over the fansite, except that you represent and warrant to SOE that the fansite will not post material that is illegal or infringes on the rights of third parties or harms the reputation of the game, SOE, its parent or affiliate companies, or its officers or employees.",L,Y,
SOE,you,"You shall not remove or alter any identifying information or copyright management information conveyed in connection with copies of SOE Fansite Content or SOE Marks, including in digital form; nor challenge SOE's or its Third Party Provider's ownership of the SOE Fansite Content or SOE Marks, nor use or adopt any trademarks that might be confusingly similar to such SOE Marks.",R,Y,
SOE,you,"You shall not rent, lease, reproduce, modify, translate or create derivative works of the SOE Fansite Content except as expressly permitted herein, nor create any derivative works (including without limitation fiction or visual art) from, or in any way exploit, any of the characters or content contained in the game or on The Station, without the express written permission of SOE.",R,Y,
SOE,you,"If you provide any Submission, you promise that you are eighteen (18) years of age or older; if you are under eighteen (18) years of age, you must first contact SOE at accounts@soe.sony.com to obtain an agreement for your Parent to sign.",R,Y,
SOE,you,"Except as otherwise set forth herein or in our Sales Policy in Section VI above and subject to anything to the contrary under applicable laws, you are solely responsible for any tax consequences that may result from your acquisition, use or redemption of Station Cash.",R,Y,
SOE,you,"Except as otherwise set forth herein or in our Sales Policy in Section VI above and subject to anything to the contrary under applicable laws, you are solely responsible for any tax consequences that may result from your acquisition, use or redemption of Station Cash.",L,Y,
SOE,you,You are solely responsible for verifying that the proper amount of Station Cash has been added to or deducted from your Station Account.,R,Y,
SOE,you,"You acknowledge that SOE has been, is, and will be constantly making changes to its games.",R,Y,
