THEM,YOU,CLAUSE,LABEL,PARTY
Lessee,Lessor,0,-,
Lessee,Lessor,SEQ CHAPTER \h \r 1DECKER BUSINESS CENTER - INDUSTRIAL TRIPLE NET LEASE,-,
Lessee,Lessor, BASIC TERMS SHEET ,-,
Lessee,Lessor, This Basic Terms Sheet to that certain Decker Business Center Industrial Triple Net Lease between the parties listed below is for the convenience of the parties in quickly referencing certain of the basic terms of the Lease.,-,
Lessee,Lessor,It is not intended to serve as a complete summary of the Lease.,-,
Lessee,Lessor,"In the event of any inconsistency between this Basic Terms Sheet and the Lease, the applicable Lease provision shall prevail and control. ",-,
Lessee,Lessor,"Date of Lease (See Paragraph 1):September 21, 2015",-,
Lessee,Lessor,"Name of Lessor (See Paragraph 1):Decker Business Center Salt Lake City, LP, a Utah limited partnership, (""Lessor"")",-,
Lessee,Lessor,"Name of Lessee (See Paragraph 1):Falcon Fulfillment, Inc.",-,
Lessee,Lessor,Lessee's Telephone Number:303-884-4159,-,
Lessee,Lessor, Lessee's Guarantor:Todd Tzeng ,-,
Lessee,Lessor,Address of Premises (See Paragraph 2):2349/2351 South Decker Lake Boulevard,-,
Lessee,Lessor,"West Valley City, Utah 84119",-,
Lessee,Lessor, Approximate Gross Rentable Area of  ,-,
Lessee,Lessor,"Premises (See Paragraph 12):13,500 SF",-,
Lessee,Lessor," Lessee's Percentage of Insurance,  ",-,
Lessee,Lessor, Real Property Tax and  ,-,
Lessee,Lessor,CAM Amounts (See Paragraph 12): 7%,-,
Lessee,Lessor, Lease Commencement Date  ,-,
Lessee,Lessor,"(See Section 3.1):October 1, 2015",-,
Lessee,Lessor, Lease Occupancy Date:Upon mutual lease signing ,-,
Lessee,Lessor,"Lease Expiration Date (See Section 3.1):November 30, 2016",-,
Lessee,Lessor,"Monthly Base Rent (See Paragraph 4):$5,535.00",-,
Lessee,Lessor,"Additional Rent: $1,458.00",-,
Lessee,Lessor, Lessee's Security Deposit  ,-,
Lessee,Lessor,"(See Paragraph 5): $11,070.00",-,
Lessee,Lessor, Lessee's Permitted Use  ,-,
Lessee,Lessor,(See Section 6.1):General office and warehouse,-,
Lessee,Lessor," Address for Lessor:Decker Business Center Salt Lake City, LP ",-,
Lessee,Lessor, % L B Hunt Management Group LLC ,-,
Lessee,Lessor,176 North 2200 West,-,
Lessee,Lessor,Suite 200,-,
Lessee,Lessor,"Salt Lake City, Utah 84116",-,
Lessee,Lessor," LESSOR: Decker Business Center Salt LESSEE: Falcon Fulfillment, Inc.   ",-,
Lessee,Lessor," Lake City, LP, a Utah limited liability company ",-,
Lessee,Lessor," By: WLA Nevada II, Inc.   ",-,
Lessee,Lessor, Its: General Partner  ,-,
Lessee,Lessor, By:____________________________________By:____________________________________ ,-,
Lessee,Lessor,       Jon S Schisler - Vice President ,-,
Lessee,Lessor, Date:Date: ,-,
Lessee,Lessor, STANDARD COMMERCIAL-INDUSTRIAL TRIPLE NET LEASE ,-,
Lessee,Lessor,1 .,-,
Lessee,Lessor, PARTIES. ,-,
Lessee,Lessor,"This Lease, dated September 21, 2015, for reference purposes only, is made by and between   Decker Business Center Salt Lake City, a Utah limited liability company,  (""Lessor""),  and Falcon Fulfillment, Inc.   (""Lessee"").",-,
Lessee,Lessor,2,-,
Lessee,Lessor, PREMISES.,-,
